Date,Price,Open,High,Low,Vol.,Change %
2023-09-21,20080.57,"19,797.23","20,082.10","19,692.41",160.29M,1.43%
2023-09-24,20213.7,"20,080.57","20,325.68","20,077.36",160.22M,0.66%
2023-09-25,20320.56,"20,213.70","20,498.51","20,213.70",215.20M,0.53%
2023-09-26,20354.86,"20,320.56","20,531.31","20,320.56",209.81M,0.17%
2023-09-27,20174.28,"20,354.86","20,429.44","20,086.40",171.06M,-0.89%
2023-10-01,20054.72,"20,174.28","20,223.85","19,979.56",136.22M,-0.59%
2023-10-02,19901.24,"20,054.72","20,162.05","19,608.68",208.97M,-0.77%
2023-10-03,19706.96,"19,901.24","19,927.22","19,652.16",115.00M,-0.98%
2023-10-04,19873.31,"19,706.96","19,896.46","19,661.31",118.56M,0.84%
2023-10-08,19357.42,"19,873.31","19,873.31","18,455.68",202.25M,-2.60%
2023-10-09,19409.78,"19,357.42","19,464.73","19,219.31",108.63M,0.27%
2023-10-10,19724.32,"19,409.78","19,749.01","19,276.31",132.99M,1.62%
2023-10-11,19653.49,"19,724.32","19,913.82","19,653.49",133.22M,-0.36%
2023-10-12,20002.1,"19,653.49","20,002.10","19,653.49",157.88M,1.77%
2023-10-15,20324.96,"20,002.10","20,464.66","20,002.10",167.68M,1.61%
2023-10-16,21032.35,"20,324.96","21,328.74","20,324.96",274.15M,3.48%
2023-10-17,22073.95,"21,032.35","22,142.88","21,032.35",327.02M,4.95%
2023-10-18,22117.4,"22,073.95","22,423.59","21,972.82",287.02M,0.20%
2023-10-19,21616.6,"22,117.40","22,217.68","21,616.60",244.34M,-2.26%
2023-10-22,22128.49,"21,616.60","22,202.78","21,586.32",171.62M,2.37%
2023-10-23,22572.49,"22,128.49","22,616.58","22,128.49",240.04M,2.01%
2023-10-24,22377.39,"22,572.49","22,841.22","21,858.48",228.86M,-0.86%
2023-10-25,23131.96,"22,377.39","23,226.61","22,377.39",348.12M,3.37%
2023-10-26,23262.27,"23,131.96","23,439.40","22,911.53",388.61M,0.56%
2023-10-29,23086.72,"23,262.27","23,413.14","23,086.72",580.50M,-0.75%
2023-10-30,23435.65,"23,086.72","23,559.20","23,086.72",396.07M,1.51%
2023-10-31,22550.65,"23,435.65","23,573.84","22,550.65",375.01M,-3.78%
2023-11-01,22433.38,"22,550.65","22,911.98","22,201.56",259.00M,-0.52%
2023-11-02,22639.59,"22,433.38","22,882.69","22,433.38",221.60M,0.92%
2023-11-05,23094.69,"22,639.59","23,247.24","22,639.59",337.10M,2.01%
2023-11-06,23059.15,"23,094.69","23,246.11","23,011.39",336.34M,-0.15%
2023-11-07,23393.41,"23,059.15","23,477.77","23,059.15",365.29M,1.45%
2023-11-08,23986.56,"23,393.41","24,136.44","23,393.41",247.48M,2.54%
