Date,Price,Open,High,Low,Vol.,Change %
2009-06-25,5479.51,"5,532.20","5,547.91","5,479.28",59.45M,-1.91%
2009-06-28,5472.0,"5,461.88","5,521.48","5,425.89",41.31M,-0.14%
2009-06-29,5547.01,"5,496.19","5,592.44","5,496.19",53.67M,1.37%
2009-06-30,5702.87,"5,559.16","5,704.00","5,559.16",77.53M,2.81%
2009-07-02,5965.06,"5,786.18","5,965.06","5,786.18",83.23M,4.60%
2009-07-05,5901.97,"5,957.41","5,957.71","5,862.82",45.77M,-1.06%
2009-07-06,5730.64,"5,918.19","5,918.19","5,730.64",46.18M,-2.90%
2009-07-07,5777.58,"5,754.38","5,816.65","5,754.38",46.05M,0.82%
2009-07-08,5524.26,"5,709.95","5,709.98","5,524.26",54.87M,-4.38%
2009-07-09,5457.99,"5,551.16","5,588.35","5,457.08",55.71M,-1.20%
2009-07-12,5299.41,"5,455.18","5,455.23","5,299.41",46.53M,-2.91%
2009-07-13,5229.4,"5,286.16","5,293.31","5,228.88",48.03M,-1.32%
2009-07-14,5421.36,"5,297.11","5,435.63","5,297.11",48.46M,3.67%
2009-07-15,5467.61,"5,423.18","5,485.45","5,421.82",50.79M,0.85%
2009-07-16,5683.76,"5,576.57","5,708.24","5,576.57",82.42M,3.95%
2009-07-19,5740.14,"5,749.03","5,786.64","5,740.12",49.54M,0.99%
2009-07-20,5841.33,"5,717.78","5,841.33","5,695.78",51.76M,1.76%
2009-07-21,5949.9,"5,949.39","5,995.27","5,949.39",58.35M,1.86%
2009-07-22,5947.89,"5,968.88","5,972.77","5,925.44",46.56M,-0.03%
2009-07-26,6119.36,"6,155.22","6,158.27","6,119.36",73.83M,2.88%
2009-07-27,6134.17,"6,129.86","6,154.51","6,127.50",66.30M,0.24%
2009-07-28,6139.98,"6,140.68","6,182.65","6,139.98",59.60M,0.09%
2009-07-29,6106.02,"6,105.98","6,106.02","6,024.98",35.64M,-0.55%
2009-07-30,6173.61,"6,111.20","6,173.61","6,101.13",55.82M,1.11%
2009-08-02,6364.65,"6,319.93","6,364.65","6,319.93",132.72M,3.09%
2009-08-03,6431.35,"6,394.23","6,431.36","6,376.80",133.36M,1.05%
2009-08-04,6434.67,"6,505.86","6,532.95","6,434.67",141.85M,0.05%
2009-08-05,6463.45,"6,393.60","6,463.45","6,330.67",125.69M,0.45%
2009-08-06,6528.99,"6,478.37","6,532.38","6,478.36",90.45M,1.01%
2009-08-09,6575.71,"6,615.68","6,647.46","6,575.71",90.05M,0.72%
2009-08-10,6508.28,"6,563.80","6,563.90","6,497.36",80.12M,-1.03%
2009-08-11,6398.22,"6,496.01","6,496.01","6,398.16",83.76M,-1.69%
2009-08-12,6283.42,"6,371.85","6,371.92","6,232.21",80.43M,-1.79%
2009-08-13,6490.62,"6,448.79","6,490.62","6,448.79",84.71M,3.30%
2009-08-16,6514.44,"6,474.32","6,519.25","6,468.44",79.81M,0.37%
2009-08-17,6288.51,"6,454.60","6,454.68","6,288.51",88.13M,-3.47%
2009-08-18,6293.48,"6,238.47","6,300.55","6,237.37",68.24M,0.08%
2009-08-19,6188.81,"6,293.84","6,299.63","6,187.06",73.38M,-1.66%
2009-08-20,6323.9,"6,210.39","6,335.83","6,210.39",56.68M,2.18%
2009-08-23,6530.08,"6,455.98","6,530.08","6,455.98",66.12M,3.26%
2009-08-24,6620.38,"6,559.10","6,620.92","6,559.10",80.57M,1.38%
2009-08-25,6690.52,"6,602.27","6,690.52","6,574.02",113.47M,1.06%
2009-08-26,6782.51,"6,715.96","6,791.30","6,715.96",91.92M,1.37%
2009-08-27,6704.21,"6,754.49","6,754.49","6,704.18",61.82M,-1.15%
2009-08-30,6744.98,"6,706.09","6,752.79","6,706.09",79.46M,0.61%
2009-08-31,6725.52,"6,747.70","6,760.06","6,705.08",78.78M,-0.29%
2009-09-01,6593.34,"6,697.81","6,697.81","6,593.34",58.18M,-1.97%
2009-09-02,6543.53,"6,498.78","6,543.53","6,480.51",48.08M,-0.76%
2009-09-03,6614.58,"6,556.23","6,622.76","6,556.16",53.22M,1.09%
2009-09-06,6676.01,"6,642.35","6,685.23","6,642.35",40.84M,0.93%
2009-09-07,6688.02,"6,719.86","6,728.79","6,688.02",41.29M,0.18%
2009-09-08,6662.23,"6,679.23","6,681.00","6,652.23",40.26M,-0.39%
2009-09-09,6655.51,"6,668.74","6,669.72","6,654.10",47.69M,-0.10%
2009-09-10,6689.86,"6,662.29","6,708.27","6,662.29",45.15M,0.52%
2009-09-13,6726.64,"6,700.13","6,732.28","6,692.62",71.91M,0.55%
2009-09-14,6633.55,"6,708.65","6,708.65","6,633.55",64.41M,-1.38%
2009-09-15,6666.57,"6,639.84","6,687.53","6,639.84",61.44M,0.50%
2009-09-16,6723.32,"6,702.78","6,741.48","6,702.67",55.45M,0.85%
2009-09-17,6846.79,"6,781.88","6,846.79","6,781.88",85.78M,1.84%
2009-09-22,6982.22,"6,982.22","6,982.22","6,982.22",69.51M,1.98%
2009-09-23,7020.35,"6,990.68","7,035.56","6,990.68",106.65M,0.55%
2009-09-24,7003.36,"6,989.25","7,009.94","6,953.27",84.06M,-0.24%
2009-09-27,6911.18,"6,991.31","6,995.82","6,911.02",96.95M,-1.32%
2009-09-28,6762.89,"6,875.78","6,875.78","6,762.89",66.27M,-2.15%
2009-09-29,6803.86,"6,832.97","6,867.97","6,803.86",78.21M,0.61%
2009-09-30,6761.73,"6,796.87","6,796.90","6,747.60",85.44M,-0.62%
2009-10-01,6789.83,"6,763.53","6,817.00","6,760.26",80.54M,0.42%
2009-10-04,6690.08,"6,736.11","6,736.12","6,648.70",53.45M,-1.47%
2009-10-05,6648.36,"6,701.51","6,727.16","6,648.36",52.70M,-0.62%
2009-10-07,6678.35,"6,679.65","6,735.70","6,678.35",75.04M,0.45%
2009-10-08,6667.28,"6,691.34","6,705.21","6,663.70",69.93M,-0.17%
2009-10-11,6766.6,"6,712.62","6,774.42","6,712.62",93.37M,1.49%
2009-10-12,6827.35,"6,778.79","6,832.09","6,776.58",77.34M,0.90%
2009-10-13,6811.56,"6,833.89","6,840.21","6,795.82",79.29M,-0.23%
2009-10-14,6990.75,"6,835.60","6,990.82","6,835.60",85.99M,2.63%
2009-10-15,7065.31,"7,059.66","7,097.26","7,059.66",79.70M,1.07%
2009-10-18,6993.3,"7,037.20","7,037.20","6,993.30",37.04M,-1.02%
2009-10-19,7119.13,"7,002.79","7,121.18","7,002.79",85.36M,1.80%
2009-10-20,7145.15,"7,131.70","7,157.51","7,123.20",90.34M,0.37%
2009-10-21,7062.09,"7,139.06","7,139.29","7,062.07",54.62M,-1.16%
2009-10-22,7101.7,"7,042.23","7,101.70","7,002.21",65.97M,0.56%
2009-10-25,7188.75,"7,133.21","7,207.54","7,131.31",60.81M,1.23%
2009-10-26,7249.55,"7,177.48","7,261.76","7,174.23",70.57M,0.85%
2009-10-27,7198.16,"7,240.01","7,240.47","7,189.75",58.52M,-0.71%
2009-10-28,7121.16,"7,192.50","7,279.91","7,121.16",68.79M,-1.07%
2009-10-29,6966.25,"6,937.19","6,966.77","6,890.10",62.12M,-2.18%
2009-11-01,6784.89,"6,892.57","6,892.57","6,784.55",73.30M,-2.60%
2009-11-02,6849.06,"6,786.05","6,885.82","6,786.05",63.70M,0.95%
2009-11-03,6617.55,"6,825.38","6,825.38","6,617.55",83.65M,-3.38%
2009-11-04,6652.58,"6,613.95","6,682.87","6,607.52",53.50M,0.53%
2009-11-05,6551.65,"6,652.52","6,652.52","6,507.12",51.36M,-1.52%
2009-11-08,6679.57,"6,706.08","6,757.86","6,679.57",57.87M,1.95%
2009-11-09,6715.99,"6,684.96","6,715.99","6,666.35",73.45M,0.55%
2009-11-10,6861.37,"6,833.36","6,868.98","6,833.36",83.30M,2.16%
2009-11-11,6863.2,"6,861.32","6,891.98","6,828.00",80.61M,0.03%
2009-11-12,6703.04,"6,861.20","6,861.20","6,703.02",78.24M,-2.33%
2009-11-15,6647.89,"6,704.23","6,727.12","6,647.89",43.98M,-0.82%
2009-11-16,6654.91,"6,647.97","6,712.39","6,647.97",50.88M,0.11%
2009-11-17,6470.8,"6,623.55","6,623.97","6,470.80",58.63M,-2.77%
2009-11-18,6268.94,"6,400.78","6,400.78","6,268.03",56.49M,-3.12%
2009-11-19,6195.47,"6,263.70","6,263.70","6,155.66",45.04M,-1.17%
2009-11-22,6216.85,"6,156.51","6,223.12","6,141.53",31.14M,0.35%
2009-11-23,6279.72,"6,218.89","6,308.62","6,212.33",43.18M,1.01%
2009-11-24,6316.61,"6,281.39","6,318.39","6,255.67",43.60M,0.59%
